ID,Hstx2,Prdm9,BW,TW,SC,ASY%,GigaMUGA,MiniMUGA,Celk_Chr17ASY%Bara_noceni--080621,FISH 17
76393,PWD,PWD/B6,NA,73,2.1,41.5,,miniMUGA,NA,NA
76394,CAST,CAST/B6,NA,162,37.25,NA,,,NA,NA
76802,CAST,PWD/B6,NA,78,0.295,24.8,,miniMUGA,NA,NA
76803,PWD,CAST/B6,NA,165,44.5,NA,,,NA,NA
76864,PWD,PWD/B6,NA,205,50.5,11.2,,miniMUGA,NA,NA
76865,CAST,PWD/B6,NA,73,3.7,41.4,gigaMUGA,miniMUGA,NA,NA
76866,CAST,PWD/B6,NA,73,9.2,36.7,,miniMUGA,NA,NA
76867,PWD,PWD/B6,NA,52,0.085,64.1,gigaMUGA,miniMUGA,NA,NA
76868,PWD,CAST/B6,NA,171,52.4,NA,,,NA,NA
76869,PWD,PWD/B6,NA,90,4.8,43.5,,miniMUGA,NA,NA
76870,PWD,PWD/B6,NA,107,6.9,37.3,,miniMUGA,NA,NA
76871,PWD,CAST/B6,NA,174,60.8,NA,,,NA,NA
76878,CAST,CAST/B6,NA,137,22,NA,,,NA,NA
76879,CAST,PWD/B6,NA,121,16.2,22,,miniMUGA,NA,NA
76880,PWD,PWD/B6,NA,58,0.0903,57,,miniMUGA,NA,NA
76881,CAST,PWD/B6,NA,101,11.4,11.8,,miniMUGA,NA,NA
76882,CAST,PWD/B6,NA,97,18.3,24.6,gigaMUGA,miniMUGA,NA,NA
76892,PWD,PWD/B6,NA,86,3.25,47.6,gigaMUGA,miniMUGA,60.7,8.5
76893,PWD,PWD/B6,NA,99,12.8,35,,miniMUGA,NA,NA
76894,CAST,PWD/B6,NA,66,0.436,26.3,gigaMUGA,miniMUGA,NA,NA
76895,PWD,CAST/B6,NA,174,32.5,NA,,,NA,NA
76896,CAST,PWD/B6,NA,100,10.4,19.1,,miniMUGA,NA,NA
76901,PWD,PWD/B6,NA,86,4.32,42.4,,miniMUGA,NA,NA
76902,CAST,CAST/B6,NA,128,36.8,NA,,,NA,NA
76903,PWD,PWD/B6,NA,55,0,63.2,,miniMUGA,NA,NA
76934,PWD,PWD/B6,NA,108,10.1,22.1,,miniMUGA,NA,NA
76935,CAST,PWD/B6,NA,112,10.2,28.5,,miniMUGA,NA,NA
76936,CAST,PWD/B6,NA,82,2.15,43.4,,miniMUGA,NA,NA
76937,PWD,CAST/B6,NA,203,34,NA,,,NA,NA
76938,CAST,CAST/B6,NA,157,42,NA,,,NA,NA
76939,PWD,CAST/B6,NA,127,27.2,NA,,,NA,NA
76940,PWD,CAST/B6,NA,225,37.5,NA,,,NA,NA
76941,PWD,CAST/B6,NA,123,28,NA,,,NA,NA
76942,CAST,CAST/B6,NA,178,32.3,NA,,,NA,NA
76943,CAST,CAST/B6,NA,129,28.4,NA,,,NA,NA
76944,PWD,PWD/B6,NA,113,9.8,41.4,,miniMUGA,NA,NA
76945,CAST,PWD/B6,NA,43,0.026,47.1,,miniMUGA,NA,NA
76991,PWD,PWD/B6,NA,81,10.2,32,,miniMUGA,NA,NA
76992,CAST,PWD/B6,NA,52,0.016,61.9,,miniMUGA,NA,NA
76998,CAST,CAST/B6,NA,169,43.6,NA,,,NA,NA
76999,CAST,PWD/B6,NA,126,18.2,14.7,gigaMUGA,miniMUGA,NA,NA
78704,PWD,CAST/B6,NA,205,72.8,NA,,,NA,NA
78769,CAST,PWD/B6,NA,169,58.4,5,,miniMUGA,NA,NA
78770,CAST,PWD/B6,NA,180,60,22,,miniMUGA,NA,NA
78824,PWD,CAST/B6,NA,183,51.6,NA,,,NA,NA
78825,CAST,PWD/B6,NA,123,30.4,17.6,gigaMUGA,miniMUGA,NA,NA
78854,CAST,CAST/B6,NA,201,44,NA,,,NA,NA
78855,PWD,PWD/B6,NA,64,0,88.3,,miniMUGA,NA,NA
78856,CAST,PWD/B6,NA,78,2.85,35.4,,miniMUGA,NA,NA
78857,CAST,CAST/B6,NA,213,52,NA,,,NA,NA
78858,CAST,CAST/B6,NA,157,30.4,NA,,,NA,NA
78859,PWD,PWD/B6,NA,66,0.0226,54,,miniMUGA,NA,NA
78883,PWD,CAST/B6,NA,176,47.2,NA,,,NA,NA
78884,CAST,PWD/B6,NA,63,0.83,37.2,,miniMUGA,NA,NA
78885,CAST,PWD/B6,NA,83,0.85,38.1,,miniMUGA,NA,NA
78886,PWD,CAST/B6,NA,154,33.75,NA,,,NA,NA
78887,PWD,PWD/B6,NA,55,0,62,,miniMUGA,NA,NA
78888,CAST,CAST/B6,NA,231,75.5,NA,,,NA,NA
78889,PWD,CAST/B6,NA,126,47.4,NA,,,NA,NA
78890,CAST,PWD/B6,NA,44,0,24.8,,miniMUGA,NA,NA
78900,PWD,CAST/B6,NA,186,39.2,NA,,,NA,NA
78970,CAST,CAST/B6,26.76,178,19.6,NA,,,NA,NA
78971,CAST,CAST/B6,26.76,177,30,NA,,,NA,NA
78972,CAST,PWD/B6,27.26,170,24.8,NA,,miniMUGA,NA,NA
78973,CAST,CAST/B6,24.32,169,15.3,NA,,,NA,NA
82004,PWD,PWD/B6,31.81,142,9.25,NA,,miniMUGA,NA,NA
82005,PWD,CAST/B6,32.62,209,16.25,NA,,,NA,NA
82006,PWD,PWD/B6,30.55,88,0.01041667,NA,,miniMUGA,NA,NA
82007,CAST,CAST/B6,27.49,105,31.2,NA,,,NA,NA
82008,CAST,PWD/B6,28.63,71,0.97,NA,,miniMUGA,NA,NA
82049,PWD,PWD/B6,24.14,133,2.85,NA,,miniMUGA,NA,NA
82050,CAST,CAST/B6,26.66,222,42,NA,,,NA,NA
82070,CAST,CAST/B6,24.8,184,29.6,NA,,,NA,NA
82071,CAST,PWD/B6,25.88,73,0.52,NA,,miniMUGA,NA,NA
82072,PWD,PWD/B6,24.83,133,2.4,NA,,miniMUGA,NA,NA
82073,CAST,CAST/B6,28.12,206,28.4,NA,,,NA,NA
82074,CAST,CAST/B6,20.7,171,39.2,NA,,,NA,NA
82075,PWD,PWD/B6,25.88,81,0.85,NA,,miniMUGA,NA,NA
82076,CAST,PWD/B6,21.79,54,0,NA,,miniMUGA,NA,NA
82077,PWD,PWD/B6,28.08,104,1.06,NA,,miniMUGA,NA,NA
82078,PWD,CAST/B6,25.28,163,28.8,NA,,,NA,NA
82079,CAST,CAST/B6,22.64,153,18.9,NA,,,NA,NA
82080,CAST,PWD/B6,21.14,71,0,NA,,miniMUGA,NA,NA
82081,CAST,PWD/B6,26.74,140,12.8,NA,,miniMUGA,NA,NA
82082,PWD,PWD/B6,31.93,44,0,NA,,miniMUGA,NA,NA
82083,PWD,PWD/B6,27.93,82,0,NA,,miniMUGA,NA,NA
82084,PWD,PWD/B6,31.48,98,0.72,NA,,miniMUGA,NA,NA
84614,CAST,PWD/B6,36.48,67,0.81,NA,,miniMUGA,NA,NA
84615,PWD,PWD/B6,26.5,50,0,NA,,miniMUGA,NA,NA
84616,CAST,PWD/B6,38.23,92,3.8,NA,,miniMUGA,NA,NA
84617,PWD,PWD/B6,30.66,120,5.45,NA,,miniMUGA,NA,NA
84619,PWD,PWD/B6,37.51,173,6.75,NA,,miniMUGA,NA,NA
84625,CAST,PWD/B6,23.13,159,6.5,NA,,miniMUGA,NA,NA
84626,CAST,PWD/B6,24.48,105,6.2,NA,,miniMUGA,NA,NA
84627,PWD,CAST/B6,27.16,199,14.5,NA,,,NA,NA
84628,CAST,CAST/B6,20.16,158,13.8,NA,,,NA,NA
84650,PWD,PWD/B6,37.68,88,0.97,NA,,miniMUGA,NA,NA
84651,PWD,CAST/B6,27.86,201,13.1,NA,,,NA,NA
84652,PWD,CAST/B6,29.87,202,13.5,NA,,,NA,NA
84653,CAST,PWD/B6,23.81,104,2.42,NA,,miniMUGA,NA,NA
84654,PWD,PWD/B6,23.24,61,0,NA,,miniMUGA,NA,NA
85074,PWD,PWD/B6,26.93,104,1.74,NA,,miniMUGA,NA,NA
85075,PWD,PWD/B6,32.99,91,0.00347222,NA,,miniMUGA,NA,NA
85076,CAST,CAST/B6,23.64,207,32.8,NA,,,NA,NA
85077,CAST,CAST/B6,28.57,168,28.8,NA,,,NA,NA
85079,CAST,PWD/B6,23.66,124,9.6,NA,,miniMUGA,NA,NA
85080,CAST,PWD/B6,22.8,113,7.45,NA,,miniMUGA,NA,NA
85081,CAST,PWD/B6,22.87,53,0,NA,,miniMUGA,NA,NA
85082,CAST,PWD/B6,27.26,143,3.9,NA,,miniMUGA,NA,NA
85083,CAST,PWD/B6,25.4,153,34.8,NA,,miniMUGA,NA,NA
85084,PWD,PWD/B6,28.18,80,1.93,NA,,miniMUGA,NA,NA
85085,PWD,CAST/B6,36.14,223,25.2,NA,,,NA,NA
85086,CAST,PWD/B6,25.55,77,0,NA,,miniMUGA,NA,NA
85087,CAST,PWD/B6,23.85,135,1.48,NA,,miniMUGA,NA,NA
85088,PWD,CAST/B6,25.53,180,24.25,NA,,,NA,NA
86901,PWD,PWD/B6,25.18,73,0.82,NA,,miniMUGA,NA,NA
86903,CAST,PWD/B6,25.35,60,0.2274306,NA,,miniMUGA,NA,NA
86904,PWD,CAST/B6,30.86,188,32.4,NA,,,NA,NA
86905,PWD,PWD/B6,28.19,124,5.4,NA,,miniMUGA,NA,NA
86906,PWD,CAST/B6,28.63,205,28.8,NA,,,NA,NA
86907,CAST,PWD/B6,26.64,92,5.3,NA,,miniMUGA,NA,NA
86908,PWD,CAST/B6,27.47,253,41.6,NA,,,NA,NA
86909,PWD,CAST/B6,38.66,222,19,NA,,,NA,NA
86910,PWD,CAST/B6,23.78,225,21.8,NA,,,NA,NA
86919,CAST,CAST/B6,26.91,200,43.2,NA,,,NA,NA
86920,PWD,CAST/B6,33.15,240,38.8,NA,,,NA,NA
86921,CAST,PWD/B6,24.81,99,39.2,NA,,miniMUGA,NA,NA
86922,CAST,PWD/B6,25.34,57,0.2638889,NA,,miniMUGA,NA,NA
86928,CAST,PWD/B6,32.55,95,0,NA,,miniMUGA,NA,NA
86929,CAST,PWD/B6,29.53,112,7.9,NA,,miniMUGA,NA,NA
86930,PWD,CAST/B6,30.87,230,10.9,NA,,,NA,NA
86931,CAST,PWD/B6,27.37,64,0,NA,,miniMUGA,NA,NA
86932,CAST,PWD/B6,21.99,74,0.2638889,NA,,miniMUGA,NA,NA
86933,CAST,PWD/B6,19.88,96,1.47,NA,,miniMUGA,NA,NA
86934,CAST,CAST/B6,24.71,159,10.9,NA,,,NA,NA
86951,PWD,CAST/B6,31.72,215,18.5,NA,,,NA,NA
86952,PWD,CAST/B6,24.97,201,9.7,NA,,,NA,NA
86953,PWD,PWD/B6,27.93,93,0.09027778,NA,,miniMUGA,NA,NA
86954,PWD,PWD/B6,32.34,83,0.2552083,NA,,miniMUGA,NA,NA
86955,PWD,CAST/B6,23.84,222,17.6,NA,,,NA,NA
86956,PWD,PWD/B6,26.5,120,8.4,NA,,miniMUGA,NA,NA
86957,CAST,PWD/B6,26.17,114,2.1,NA,,miniMUGA,NA,NA
86958,CAST,PWD/B6,24.25,120,0,NA,,miniMUGA,NA,NA
86959,PWD,CAST/B6,28.53,210,5.75,NA,,,NA,NA
86960,PWD,CAST/B6,27.19,180,23.8,NA,,,NA,NA
86961,PWD,PWD/B6,35.87,170,19.6,NA,,miniMUGA,NA,NA
86965,PWD,CAST/B6,25.94,205,50.8,NA,,,NA,NA
86966,CAST,PWD/B6,26.11,70,0.75,NA,,miniMUGA,NA,NA
86967,PWD,CAST/B6,26.4,180,52.8,NA,,,NA,NA
86978,PWD,PWD/B6,28.16,152,40.4,NA,,miniMUGA,NA,NA
86979,CAST,PWD/B6,24.79,76,0.0069444,NA,,miniMUGA,NA,NA
86980,PWD,CAST/B6,33.24,251,38,NA,,,NA,NA
86981,CAST,PWD/B6,25.46,81,0.97,NA,,miniMUGA,NA,NA
86982,PWD,CAST/B6,23.85,165,20.4,NA,,,NA,NA
86983,PWD,PWD/B6,24.4,99,3.8,NA,,miniMUGA,NA,NA
86984,PWD,PWD/B6,29.33,59,0,NA,,miniMUGA,NA,NA
86985,PWD,CAST/B6,28.96,180,38.8,NA,,,NA,NA
86986,PWD,PWD/B6,29.38,54,0,NA,,miniMUGA,NA,NA
86987,CAST,CAST/B6,27.9,221,28.8,NA,,,NA,NA
86988,CAST,PWD/B6,26.34,102,3.9,NA,,miniMUGA,NA,NA
86989,PWD,PWD/B6,29.18,135,8.3,NA,,miniMUGA,NA,NA
86990,CAST,CAST/B6,26.86,230,36.8,NA,,,NA,NA
86991,PWD,CAST/B6,22.67,163,39.6,NA,,,NA,NA
86992,PWD,CAST/B6,22.82,184,31.6,NA,,,NA,NA
86993,CAST,PWD/B6,24.69,94,1.28,NA,,miniMUGA,NA,NA
84674,CAST,PWD/B6,36.25,113,0,NA,,miniMUGA,NA,NA
84698,CAST,PWD/B6,25.49,50,0,NA,,miniMUGA,NA,NA
84700,CAST,PWD/B6,25.17,129,0,NA,,miniMUGA,NA,NA
87501,CAST,PWD/B6,24.36,97,0,NA,,miniMUGA,NA,NA
